node,in_degree,out_degree,betweenness,pagerank
72.0,1,1,0.000366555006408369,0.0004978065682097651
73.0,1,1,0.0004940246471984141,0.00021116016349408302
75.0,1,1,0.0004889775203941034,0.0007056383037593683
81.0,2,2,0.000848971261956866,0.0010760636236187894
71.0,1,1,7.1253554884386655e-06,0.0001985760749237443
77.0,1,1,2.4196519679489634e-05,0.00027948618664440573
78.0,1,1,4.898681898301582e-06,0.000699829467246958
84.0,2,1,4.646325558086047e-05,0.0019553896760605947
90.0,1,1,0.027893910957819512,0.00019047515191423733
171.0,1,3,0.0016127054588832878,0.0002029901707149109
247.0,1,1,0.002363688238383518,0.0001840533236905557
249.0,1,1,0.007607504543156347,0.00017107265207503883
270.0,1,2,0.0,0.00018379308091094832
271.0,1,1,0.0,0.00018490857730449914
273.0,3,1,0.0004974388800366243,0.0005490389736855284
274.0,2,1,0.0003431120213469988,0.00026494025502349003
277.0,5,1,0.0005361830005050096,0.0013732666432736554
278.0,3,2,0.000493876202292405,0.00043383609113951157
280.0,1,1,0.00033821333944869736,0.00024400771194847567
281.0,1,1,0.0028724089312768372,0.0002743552824682936
282.0,1,1,0.0004787348218794728,0.00018865717649366832
85.0,1,2,0.0016734819108621608,0.0018946073348642108
82.0,2,1,0.0005463663210572367,0.0005189876074602876
88.0,2,1,0.0004925401981383228,0.0005513989829223251
83.0,1,1,4.008012462246749e-06,0.00019375306391760354
144.0,4,2,0.0019257487756736476,0.0004582868783105256
97.0,1,3,0.0011015236880089487,0.0005727967170019336
86.0,2,1,0.0014468924988710766,0.00044772118150542673
140.0,1,4,0.000969493681145686,0.0004805967921267911
87.0,1,1,0.0004787348218794728,0.00011029068593321878
91.0,1,1,8.906694360548332e-07,0.0005688619267751305
89.0,1,1,0.0,0.0006666666666666666
93.0,1,3,0.02785115882488888,0.0002620665485955251
92.0,1,2,0.0,0.00016928191417214217
99.0,2,1,1.7813388721096664e-06,0.00018353254368431475
94.0,1,1,8.906694360548332e-06,0.00010903702526312284
95.0,2,1,1.33600415408225e-06,0.0002693376077065111
138.0,2,2,0.00047930161152059866,0.00017975811707428578
100.0,2,1,0.0,0.00024577768443410366
103.0,1,1,0.0,0.0002841608132729892
98.0,1,1,0.0,0.0001083555931936914
101.0,2,2,0.045645386354234666,0.0003231548262317899
124.0,5,4,0.04769508662642594,0.0008320394948201382
108.0,2,1,8.461359642520916e-06,0.0004449724640639252
106.0,1,5,0.030585389093820612,0.00036455435195781094
109.0,1,1,4.453347180274166e-07,0.00014329780120980818
111.0,1,1,0.029927407047935103,0.00018789278894914662
112.0,1,2,0.030770945226332034,0.0005277157860660216
