node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND533201AAA,3,2,0.0004028804028584574,0.0017086115108586567,0.600673735614401
IND574216AAA,2,2,0.0012066295497322299,0.0006184554134801923,0.6006681884439369
IND263645AAA,3,2,0.001205532281272334,0.0006173534479994346,0.6006674189469088
IND142001AAB,2,2,0.0011898047666804921,0.0006250968261956361,0.6006634509545309
IND680587AAA,1,2,0.0012069953058855285,0.0005865297251661181,0.600658757039904
IND587103AAB,1,2,0.001205532281272334,0.0005427498708519626,0.6006450378737646
IND571104AAA,1,2,0.0012062637935789313,0.0005183901742125407,0.6006380225696953
IND713128AAB,1,2,0.001205532281272334,0.000502478557464501,0.6006329564797482
IND721134AAB,1,2,0.0012150419412580986,0.0004646732510547354,0.6006254187518196
IND472001AAA,2,2,0.001184806099252077,0.000501192356963687,0.6006242801467899
IND786190AAA,3,2,0.0008050292934103177,0.0010064090117880068,0.6006239344209005
IND757037AAA,3,2,0.000804663537257019,0.0010051760513716643,0.6006234182303143
IND533262AAA,2,2,0.0008046635372570189,0.0010032431474546963,0.6006228383591392
IND563125AAB,3,2,0.0012045569315302042,0.0004483465880325685,0.6006163267490219
IND384265AAB,1,2,0.001205532281272334,0.0004309353272354953,0.6006114935106796
IND848210AAA,1,2,0.0012058980374256326,0.0004232500300432645,0.6006093342239832
IND695541AAA,2,2,0.0012223570643240715,0.000401177784642692,0.6006092961611225
IND244412AAA,1,2,0.001205532281272334,0.00041992385170205176,0.6006081900680196
IND521105AAA,1,2,0.001205532281272334,0.00041974650642788897,0.6006081368644373
IND110092AAC,3,2,0.000804663537257019,0.0009481318503944656,0.6006063049700211
IND480661AAA,3,2,0.0008032005126438244,0.0009161949861980962,0.6005961387009169
IND415003AAA,1,2,0.0011484356934642994,0.0004503979058720334,0.6005944936491473
IND126102AAA,1,2,0.001205532281272334,0.00036954584028696944,0.600593076664595
IND403702AAA,1,2,0.0012453524691359754,0.0003081594466433582,0.6005905888216474
IND509358AAA,1,2,0.0012048007689657366,0.00033409516895408214,0.6005821488582725
IND689101AAA,1,2,0.0012135789166449042,0.0003216152354923598,0.6005819161373056
IND244921AAB,2,2,0.0008038710655915386,0.0008564632175119028,0.6005784873914901
IND824101AAA,2,2,0.000804663537257019,0.0008524458113728242,0.6005775991583147
IND713145AAB,1,2,0.0012080925743454245,0.0002952163362730413,0.6005718019306201
IND342602AAC,2,2,0.000803566268797123,0.0008126355280936279,0.6005652171659469
IND732139AAA,2,2,6.58361075937561e-06,0.001872732484597337,0.6005644531896829
IND788806AAA,2,2,0.0008050292934103177,0.0007989562741685552,0.6005616985996147
IND792001AAA,1,2,0.0008042977811037204,0.0007520247300159725,0.6005473265314463
IND712602AAA,2,2,0.0010043663969580793,0.0004630933324958384,0.600540674558532
IND561207AAB,1,2,0.0004048920617016,0.0012545736477740596,0.6005383289190128
IND68004AAA,2,2,0.000803566268797123,0.0007210452470962833,0.6005377400816477
IND144601AAA,1,2,0.000803566268797123,0.0007050163619193548,0.6005329314160947
IND124507AAA,2,2,0.000804663537257019,0.0006959205406190153,0.6005306415770885
IND410505AAB,2,2,0.0008042977811037204,0.0006938726116744857,0.6005298808959438
IND504251AAA,2,2,0.000803566268797123,0.0006894499934805929,0.600528261505563
IND560048AAB,4,2,0.0008061265618702135,0.0006485663727981026,0.6005170205365875
IND521185AAA,2,2,0.000804663537257019,0.0006492577858361675,0.6005166427506536
IND413517AAA,2,2,0.0008042977811037204,0.0006432343715259937,0.6005146894238993
IND695101AAB,2,2,0.0004191565516802472,0.0011229336420117148,0.6005045427132756
IND132103AAA,2,2,0.0008032005126438244,0.0006084347119731424,0.6005038106186494
IND201301AAL,2,2,0.00040672084246809323,0.0011237061843276815,0.6004998001922855
IND500050AAA,2,2,0.0008061265618702134,0.000537510609105675,0.6004837038074797
IND802101AAA,1,2,0.000803566268797123,0.0005208943661158547,0.6004776948173536
IND515201AAA,1,2,0.000803566268797123,0.0005119498133548568,0.6004750114515253
IND244713AAA,3,2,1.828780766493225e-07,0.0015522277061345445,0.600465741463071
IND332713AAA,1,2,0.0008075895864834082,0.0004716765896851036,0.6004645388114989
IND148023AAA,2,2,0.0008061265618702135,0.0004712101889842231,0.6004638136814433
IND509301AAA,1,2,0.0008050292934103175,0.00045906339731843505,0.6004597307365597
IND473226AAA,1,2,0.0008072238303301092,0.0004180785467810127,0.6004483130961663
IND400011AAA,2,2,0.0008039320249504218,0.00041554814993961136,0.600446237254962
IND383315AAC,1,2,0.0008042977811037204,0.0003999833310075028,0.6004417141117437
IND760003AAB,1,2,0.0008039320249504218,0.00039495027104853554,0.6004400578912947
IND501101AAB,1,2,0.0008032005126438244,0.00039350692323198935,0.6004393322820271
IND814112AAA,3,2,0.000735962339795745,0.00047732892104974316,0.6004375836122332
IND846004AAA,1,2,0.000803566268797123,0.00037888197119692217,0.6004350910988779
IND414302AAB,2,2,0.0008042977811037204,0.00037571764450736693,0.6004344344057937
IND508116AAA,1,2,0.000803566268797123,0.00037480184104584773,0.6004338670598326
IND140301AAA,1,2,0.000803566268797123,0.00035712544200490525,0.6004285641401202
IND788151AAA,1,2,0.0008032005126438244,0.000343513726652379,0.6004243343230532
IND591302AAB,1,2,0.00040269752478180816,0.0008592420883301426,0.6004188516364117
IND767001AAA,3,2,5.85209845277832e-06,0.0013776521387952872,0.6004156364810197
IND517501AAB,2,2,8.77814767916748e-06,0.0013511719039728412,0.6004088628302635
IND767017AAA,2,2,5.85209845277832e-06,0.0013198680378168472,0.6003983012507261
IND400701AAA,1,2,0.0008042977811037204,0.00025098732904220954,0.6003970153111541
IND632301AAA,1,2,0.000803566268797123,0.00023545521711908186,0.6003920630726546
IND521001AAA,2,2,0.00040269752478180805,0.0007655619677398784,0.6003907476002347
IND283203AAA,2,2,0.00041391404681629973,0.000734499159503173,0.6003859153665775
IND413501AAA,2,2,0.00045019759312997726,0.000656416856527974,0.6003770040942104
IND585314AAA,2,2,0.0004019660124752109,0.000707857176855178,0.6003731435580466
IND274001AAA,2,2,0.0004242771378264283,0.0006422430520235382,0.6003623837707376
IND713130AAA,2,2,0.0005353450897114453,0.00047500711246981634,0.6003566401696255
IND321001AAB,1,2,0.0006020346283295697,0.00036422544810835584,0.6003500814857643
IND274304AAB,2,2,0.0004081838670812879,0.0006160238554811076,0.6003480807034768
IND400015AAA,3,2,0.0004030632809351067,0.0006208744943774927,0.6003474876606872
IND518206AAA,2,2,0.0004019660124752109,0.0006202725580787066,0.6003468681724137
IND125047AAB,2,2,0.00041184142861427426,0.0006037844737550572,0.6003458719135722
IND845455AAB,1,2,0.0004026975247818082,0.000615155873974937,0.6003456257721052
IND423601AAA,3,2,0.0004017831343985615,0.0006150126153943914,0.6003452170383777
IND505209AAA,2,2,0.0004019660124752109,0.0006077275923031582,0.600343104682681
IND722154AAA,2,2,0.00040269752478180816,0.0005950856569303979,0.6003396047069918
IND603203AAA,2,2,0.0004030632809351068,0.0005943863048399975,0.600339541203826
IND585211AAA,2,2,0.0004019660124752109,0.0005903718238602244,0.6003378979521481
IND854105AAB,1,2,0.0006040462871727123,0.00032065904247997423,0.6003378162276131
IND532222AAA,1,2,0.0004021488905518602,0.0005888022667156236,0.6003375002362354
IND635601AAB,1,2,0.0004019660124752109,0.0005832315282051919,0.6003357558634517
IND586128AAA,2,2,0.0004019660124752109,0.0005778059531398838,0.600334128190932
IND732204AAB,1,2,2.5602930730905153e-06,0.0011081634076584386,0.6003334731395268
IND533003AAA,2,2,0.0004019660124752109,0.0005691584319370474,0.6003315339345712
IND585307AAB,2,2,0.0004019660124752109,0.0005319394911682973,0.6003203682523406
IND721253AAC,2,2,0.0004019660124752109,0.0005176624123466072,0.600316085128694
IND140901AAA,2,2,0.0004019660124752109,0.0005117034253020388,0.6003142974325807
